### 2 players ###
Shortest -- 31 turns
Longest  -- 763 turns
Average  -- 175 turns


### 3 players ###
Shortest -- 43 turns
Longest  -- 835 turns
Average  -- 233 turns


### 4 players ###
Shortest -- 53 turns
Longest  -- 828 turns
Average  -- 267 turns


### 5 players ###
Shortest -- 63 turns
Longest  -- 1010 turns
Average  -- 276 turns


### 6 players ###
Shortest -- 69 turns
Longest  -- 1394 turns
Average  -- 299 turns


### 7 players ###
Shortest -- 74 turns
Longest  -- 789 turns
Average  -- 290 turns


### 8 players ###
Shortest -- 85 turns
Longest  -- 1032 turns
Average  -- 299 turns


### 9 players ###
Shortest -- 93 turns
Longest  -- 766 turns
Average  -- 292 turns


### 10 players ###
Shortest -- 110 turns
Longest  -- 975 turns
Average  -- 308 turns
